Scenario,Date,Rounds,Winner
allTotalitiesButWhite,10/07/2016 18:36:21,14,Black
allTotalitiesButWhite,10/07/2016 18:40:31,10,Green
allTotalitiesButWhite,10/07/2016 22:02:57,15,Green
allTotalitiesButWhite,10/07/2016 23:54:18,14,Black
allTotalitiesButWhite,11/07/2016 10:56:27,13,White
allTotalitiesButWhite,11/07/2016 11:53:05,15,Black
allTotalitiesButWhite,11/07/2016 16:49:14,9,Black
allTotalitiesButWhite,11/07/2016 19:44:00,16,Black
allTotalitiesButWhite,11/07/2016 21:32:15,33,Black
allTotalitiesButWhite,11/07/2016 21:52:45,10,Black
allTotalitiesButWhite,11/07/2016 22:40:48,10,Black
allTotalitiesButWhite,12/07/2016 20:48:22,17,White
allTotalitiesButWhite,13/07/2016 22:31:15,17,Black
allTotalitiesButWhite,14/07/2016 15:13:19,15,Black
allTotalitiesButWhite,14/07/2016 17:14:47,16,Black
allTotalitiesButWhite,14/07/2016 21:04:11,8,Black
allTotalitiesButWhite,16/07/2016 16:17:02,11,Black
allTotalitiesButWhite,16/07/2016 18:33:39,22,Green
allTotalitiesButWhite,16/07/2016 22:02:12,13,Black
allTotalitiesButWhite,17/07/2016 20:08:28,14,Green
allTotalitiesButWhite,17/07/2016 23:26:45,16,Black
allTotalitiesButWhite,18/07/2016 04:40:56,18,Black
allTotalitiesButWhite,18/07/2016 19:53:30,18,Black
allTotalitiesButWhite,18/07/2016 20:32:49,13,White
allTotalitiesButWhite,18/07/2016 22:22:04,14,Black
allTotalitiesButWhite,19/07/2016 19:33:03,9,Black
allTotalitiesButWhite,19/07/2016 19:50:38,13,White
allTotalitiesButWhite,19/07/2016 19:52:52,16,White
allTotalitiesButWhite,19/07/2016 23:37:51,11,Black
allTotalitiesButWhite,20/07/2016 00:25:48,12,Black
allTotalitiesButWhite,20/07/2016 20:49:44,22,Black
allTotalitiesButWhite,20/07/2016 22:04:40,12,Black
allTotalitiesButWhite,21/07/2016 20:37:04,11,Black
allTotalitiesButWhite,23/07/2016 17:24:07,16,White
allTotalitiesButWhite,24/07/2016 21:53:57,12,White
allTotalitiesButWhite,24/07/2016 23:00:15,17,Black
allTotalitiesButWhite,07/12/2016 20:30:58,15,Black
spreadOut,10/07/2016 18:58:49,15,White
spreadOut,10/07/2016 19:01:54,27,Green
spreadOut,10/07/2016 23:00:42,21,White
spreadOut,11/07/2016 00:04:00,6,White
spreadOut,11/07/2016 11:04:27,12,White
spreadOut,11/07/2016 11:16:44,17,White
spreadOut,11/07/2016 17:01:12,10,White
